tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_p25
24510120500,Greenmount West, Baltimore, MD,0.1305
24510080400,Broadway East, Baltimore, MD,0.1135
24510080800,Broadway East, Baltimore, MD,0.1128
24510271400,Evergreen, Baltimore, MD,0.1091
24510160200,Sandtown-Winchester, Baltimore, MD,0.1061
24510200400,Shipley Hill, Baltimore, MD,0.105
24510180100,Poppleton, Baltimore, MD,0.102
24510190200,Pratt Monroe, Baltimore, MD,0.0998
24510120600,Old Goucher, Baltimore, MD,0.0984
24510070400,Gay Street, Baltimore, MD,0.0982
24510100100,Johnson Square, Baltimore, MD,0.0927
24510090900,Oliver, Baltimore, MD,0.0911
24510070200,Madison - Eastend, Baltimore, MD,0.0901
24510280302,West Forest Park, Baltimore, MD,0.0872
24510200702,Saint Joseph's, Baltimore, MD,0.0854
24510200100,Lexington, Baltimore, MD,0.085
24510280402,Rognel Heights, Baltimore, MD,0.0849
24510140100,Bolton Hill, Baltimore, MD,0.0838
24510140200,Upton, Baltimore, MD,0.0806
24510020100,Upper Fells Point, Baltimore, MD,0.0795
24510160700,Rosemont, Baltimore, MD,0.0787
24510190100,Franklin Square, Baltimore, MD,0.0779
24510170300,Upton, Baltimore, MD,0.0778
24510080700,Broadway East, Baltimore, MD,0.0773
24510260604,O'Donnell Heights, Baltimore, MD,0.0762
24510270501,Woodring, Baltimore, MD,0.0757
24510250207,Cherry Hill, Baltimore, MD,0.0755
24510080302,Berea, Baltimore, MD,0.0737
24510080301,Berea, Baltimore, MD,0.0726
24510130806,Woodberry, Baltimore, MD,0.0725
24510270902,Perring Loch, Baltimore, MD,0.0724
24510140300,Druid Heights, Baltimore, MD,0.0723
24510200200,Lexington, Baltimore, MD,0.0721
24510120400,Barclay, Baltimore, MD,0.072
24510150600,NW Community Action, Baltimore, MD,0.0717
24510260301,Belair - Edison, Baltimore, MD,0.0716
24510260402,Frankford, Baltimore, MD,0.0706
24510250204,Cherry Hill, Baltimore, MD,0.0702
24510250301,Westport, Baltimore, MD,0.0692
24510130300,Penn North, Baltimore, MD,0.069
24510080500,Darley Park, Baltimore, MD,0.0689
24510080102,Belair - Edison, Baltimore, MD,0.0688
24510271600,Edgecomb, Baltimore, MD,0.0679
24510250102,Yale Heights, Baltimore, MD,0.066
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0655
24510270903,Hillen, Baltimore, MD,0.0653
24510250203,Cherry Hill, Baltimore, MD,0.0648
24510280102,Gwynn Oak, Baltimore, MD,0.0648
24510271801,Arlington, Baltimore, MD,0.0646
24510150701,Hanlon Longwood, Baltimore, MD,0.0638
24005402405,Gwynn Oak, Baltimore, MD,0.0635
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.0631
24510120300,Harwood, Baltimore, MD,0.063
24510130200,Reservoir Hill, Baltimore, MD,0.0624
24005403202,Gwynn Oak, Baltimore, MD,0.0618
24510160802,Edmondson, Baltimore, MD,0.0616
24510080200,Broadway East, Baltimore, MD,0.0605
24510130400,Woodbrook, Baltimore, MD,0.0597
24510130100,Reservoir Hill, Baltimore, MD,0.0597
24510271002,Winston - Govans, Baltimore, MD,0.0596
24510271700,Central Park Heights, Baltimore, MD,0.0592
24510150300,Coppin Heights, Baltimore, MD,0.0591
24510200500,Mill Hill, Baltimore, MD,0.0589
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.0589
24510060300,Butchers Hill, Baltimore, MD,0.0587
24510200300,Bentalou-Smallwood, Baltimore, MD,0.0585
24510230200,South Baltimore, Baltimore, MD,0.0583
24510160801,Edmondson, Baltimore, MD,0.0581
24510272004,Cheswolde, Baltimore, MD,0.0575
24510270101,Arcadia, Baltimore, MD,0.0574
24510151200,Park Circle, Baltimore, MD,0.0572
24510260102,Frankford, Baltimore, MD,0.0568
24510070300,Milton - Montford, Baltimore, MD,0.0565
24510090800,East Baltimore Midway, Baltimore, MD,0.0563
24510250402,Brooklyn, Baltimore, MD,0.0549
24510150100,Sandtown-Winchester, Baltimore, MD,0.0546
24510010400,Canton, Baltimore, MD,0.0545
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.0544
24510150900,Windsor Hills, Baltimore, MD,0.0541
24510190300,Mount Clare, Baltimore, MD,0.0541
24510060100,Patterson Park, Baltimore, MD,0.0534
24510271900,Glen, Baltimore, MD,0.0534
24510250101,Beechfield, Baltimore, MD,0.0532
24510210100,Pigtown, Baltimore, MD,0.0532
24510260403,Cedonia, Baltimore, MD,0.0532
24510160300,Sandtown-Winchester, Baltimore, MD,0.0531
24510260201,Frankford, Baltimore, MD,0.0528
24510260302,Belair - Edison, Baltimore, MD,0.0526
24510170200,McCulloh Homes, Baltimore, MD,0.0525
24510150200,Sandtown-Winchester, Baltimore, MD,0.0523
24510260202,Parkside, Baltimore, MD,0.0523
24510180200,Poppleton, Baltimore, MD,0.0519
24510250303,Morrell Park, Baltimore, MD,0.0518
24510250205,Lakeland, Baltimore, MD,0.0517
24510270802,Ramblewood, Baltimore, MD,0.0514
